timedate,Calcium,Chloride,Magnesium,Nitrate,Potassium,Sodium,Sulfate,Temperature,Turbidity,Discharge
2022-01-01 00:21:00+00:00,1.982519,0.838732,1.351358,0.439081,0.034271,0.403957,0.21526,7.46875,17.96875,16.45193261
2022-01-01 00:50:00+00:00,1.974414,0.841042,1.353086,0.43971,0.031944,0.406174,0.214781,7.46875,17.96875,16.36698287
2022-01-01 01:19:00+00:00,1.961621,0.842479,1.320412,0.439984,0.032737,0.40787,0.213687,7.46875,17.96875,16.50856577
2022-01-01 01:48:00+00:00,2.012918,0.844141,1.366708,0.440806,0.033248,0.409391,0.212458,7.46875,17.96875,16.25371655
2022-01-01 02:18:00+00:00,1.967531,0.847859,1.341811,0.440968,0.031637,0.410826,0.211542,7.46875,18.945312,16.31034971
2022-01-01 02:47:00+00:00,1.963491,0.852056,1.323457,0.441855,0.030742,0.414913,0.210208,7.46875,17.96875,16.11213365
2022-01-01 03:16:00+00:00,1.969776,0.856366,1.343498,0.442645,0.032685,0.416565,0.208823,7.46875,16.992188,16.19708339
2022-01-01 03:45:00+00:00,1.956409,0.861408,1.321029,0.443242,0.031841,0.420522,0.207698,7.46875,17.96875,16.25371655
2022-01-01 04:15:00+00:00,1.978429,0.86662,1.341111,0.444371,0.031253,0.423957,0.20649,7.78125,16.992188,15.99886734
2022-01-01 04:44:00+00:00,1.97182,0.870648,1.342058,0.444774,0.031969,0.426609,0.204896,7.46875,17.96875,15.99886734
2022-01-01 05:13:00+00:00,1.969476,0.876028,1.335638,0.446048,0.031407,0.429043,0.203833,7.78125,17.96875,15.99886734
2022-01-01 05:42:00+00:00,1.977357,0.879211,1.346049,0.446387,0.031662,0.433,0.202562,7.8125,16.992188,15.9139176
2022-01-01 06:12:00+00:00,1.96985,0.882676,1.339547,0.447726,0.032097,0.43887,0.201344,7.8125,16.992188,15.85728444
2022-01-01 06:41:00+00:00,1.975636,0.884423,1.34428,0.448548,0.031151,0.434087,0.200427,7.8125,16.992188,15.85728444
2022-01-01 07:10:00+00:00,1.978329,0.886028,1.345802,0.45029,0.030614,0.434957,0.199344,7.8125,17.96875,15.65906838
2022-01-01 07:39:00+00:00,1.98601,0.886197,1.347654,0.451403,0.031714,0.434,0.198458,7.8125,16.992188,15.60243523
2022-01-01 08:08:00+00:00,1.954638,0.886141,1.31786,0.452161,0.031151,0.432217,0.197635,7.8125,15.917969,15.65906838
2022-01-01 08:38:00+00:00,1.977606,0.885634,1.344321,0.453048,0.030588,0.43113,0.197198,7.8125,15.917969,15.60243523
2022-01-01 09:07:00+00:00,1.980349,0.884704,1.345432,0.454548,0.030742,0.429174,0.19649,8.3125,15.917969,15.40421917
2022-01-01 09:36:00+00:00,1.985137,0.884085,1.350823,0.455016,0.0311,0.430609,0.196167,7.8125,16.992188,15.48916891
2022-01-01 10:06:00+00:00,1.964838,0.882676,1.32037,0.455032,0.03087,0.424957,0.195979,7.8125,15.917969,15.34758601
2022-01-01 10:35:00+00:00,1.982743,0.880676,1.34177,0.45671,0.029898,0.426696,0.195333,7.78125,15.917969,15.23431969
2022-01-01 11:04:00+00:00,1.988529,0.879268,1.353457,0.457677,0.030256,0.419261,0.195042,7.78125,15.917969,15.14936996
2022-01-01 11:33:00+00:00,1.98798,0.877211,1.350123,0.457935,0.030102,0.416913,0.194792,7.78125,15.917969,15.29095285
2022-01-01 12:02:00+00:00,1.990574,0.875577,1.351893,0.458871,0.029795,0.414783,0.194375,7.78125,15.917969,15.23431969
2022-01-01 12:32:00+00:00,1.992868,0.874113,1.351811,0.459565,0.030128,0.412522,0.194313,7.78125,15.917969,15.14936996
2022-01-01 13:01:00+00:00,1.992095,0.87093,1.349012,0.458839,0.030102,0.409609,0.193958,7.75,15.917969,15.03610364
2022-01-01 13:30:00+00:00,2.001671,0.869521,1.361276,0.46021,0.029565,0.408,0.193448,7.75,14.941406,14.97947048
2022-01-01 13:59:00+00:00,1.995436,0.867746,1.3493,0.459065,0.030102,0.406043,0.19351,7.75,14.941406,14.83788758
2022-01-01 14:29:00+00:00,2.001247,0.865859,1.352263,0.461435,0.029872,0.403435,0.193031,7.75,14.941406,14.97947048
2022-01-01 14:58:00+00:00,1.998853,0.863521,1.346296,0.462242,0.028824,0.401565,0.192458,7.75,14.941406,14.92283732
2022-01-01 15:27:00+00:00,2.003491,0.861803,1.356914,0.462339,0.029258,0.403652,0.192333,7.71875,13.964844,14.72462127
2022-01-01 15:56:00+00:00,1.997955,0.859803,1.352963,0.462065,0.029335,0.397652,0.19201,7.71875,14.941406,14.61135495
2022-01-01 16:26:00+00:00,2.006409,0.858366,1.358601,0.462597,0.029258,0.396304,0.191208,7.71875,14.941406,14.72462127
2022-01-01 16:55:00+00:00,2.005611,0.857606,1.360658,0.462919,0.029207,0.395217,0.190948,7.6875,13.964844,14.78125442
2022-01-01 17:24:00+00:00,2.004289,0.857127,1.357613,0.462726,0.029233,0.394087,0.190458,7.6875,14.941406,14.61135495
2022-01-01 17:53:00+00:00,2.007332,0.856958,1.359218,0.46221,0.029591,0.395217,0.190198,7.6875,13.964844,14.66798811
2022-01-01 18:22:00+00:00,2.007307,0.856282,1.35679,0.461677,0.029054,0.394739,0.18999,7.6875,13.964844,14.72462127
2022-01-01 18:52:00+00:00,1.992718,0.855437,1.346955,0.461339,0.029616,0.391565,0.189833,7.65625,12.988281,14.61135495
2022-01-01 19:21:00+00:00,2.010574,0.854113,1.360947,0.463242,0.02913,0.392783,0.189031,7.625,12.988281,14.66798811
2022-01-01 19:50:00+00:00,2.006983,0.852028,1.352346,0.462516,0.029719,0.390913,0.188604,7.59375,13.964844,14.61135495
2022-01-01 20:19:00+00:00,2.004489,0.850451,1.36037,0.462097,0.029284,0.389913,0.188437,7.5625,13.964844,14.41313889
2022-01-01 20:49:00+00:00,2.007681,0.847972,1.362634,0.460984,0.029463,0.392739,0.187896,7.53125,12.988281,14.72462127
2022-01-01 21:18:00+00:00,2.000798,0.847437,1.351564,0.460774,0.029182,0.391435,0.187844,7.53125,12.988281,14.55472179
2022-01-01 21:47:00+00:00,2.00616,0.846958,1.360617,0.460081,0.028951,0.394348,0.18774,7.5,12.988281,14.78125442
2022-01-01 22:16:00+00:00,2.005262,0.846141,1.359465,0.4585,0.030051,0.390739,0.187948,7.5,12.988281,14.66798811
2022-01-01 22:46:00+00:00,2.00187,0.845183,1.350494,0.45679,0.029514,0.391652,0.187844,7.46875,12.988281,14.61135495
2022-01-01 23:15:00+00:00,2.007107,0.84462,1.363951,0.457661,0.02867,0.391522,0.187583,7.4375,12.988281,14.61135495
2022-01-01 23:44:00+00:00,2.002643,0.845183,1.356173,0.458274,0.029003,0.390261,0.187469,7.40625,12.988281,14.61135495
