TIMESTAMP,Cs,Cm,Cd,Os,Om,Od,Mean NDVI,AveSoilVWC_180cm,AveSoilTemp_110cm,AveSoilVWC_20cm,AveBaroTemp,Precip_3D,Rnsmooth,site
2023-06-19 09:00:00,3539.2789999999995,9100.146,1253.8199999999997,0.35145999999999944,-0.3985200000000013,-0.3598700000000008,0.6433722309170641,0.329,16.54,0.298,28.24,0.0,1.1828676070833335,NEPR
2023-06-19 10:00:00,2946.2599999999998,9620.243,1510.7999999999993,0.29410999999999987,-0.42286,-0.3832000000000022,0.6436976531305402,0.329,16.54,0.297,31.11,0.0,1.1850708570833333,NEPR
2023-06-19 11:00:00,1508.2670000000003,10920.931,1897.8700000000008,0.2288400000000017,-0.46603999999999957,-0.43149000000000015,0.6440230753440161,0.329,16.54,0.297,32.44,0.0,1.18482589875,NEPR
2023-06-19 12:00:00,703.5540000000001,11229.306,2564.0999999999985,0.17060999999999993,-0.40298999999999907,-0.525030000000001,0.6443484975574922,0.329,16.55,0.296,33.2,0.0,1.18361864875,NEPR
2023-06-19 13:00:00,-174.62699999999995,11200.490000000002,3704.539999999999,0.1870900000000013,-0.30253000000000085,-0.6474100000000007,0.6446739197709682,0.329,16.55,0.296,34.04,0.0,1.1818688570833333,NEPR
2023-06-19 14:00:00,-530.819,10826.932,4463.130000000001,0.2223600000000019,-0.22309000000000268,-0.7250099999999975,0.6449993419844442,0.328,16.55,0.295,35.05,0.0,1.1807816904166666,NEPR
2023-06-19 15:00:00,-899.9999999999998,9925.008,5922.019999999999,0.2930500000000009,-0.10686000000000107,-0.8574799999999989,0.6453247641979203,0.328,16.56,0.295,35.94,0.0,1.1805830654166667,NEPR
2023-06-19 16:00:00,-974.06,9018.25,6933.43,0.3637599999999992,-0.00601999999999947,-0.9466199999999994,0.6456501864113963,0.328,16.56,0.295,36.24,0.0,1.1848488570833333,NEPR
2023-06-19 17:00:00,-1065.938,8357.773,7760.120000000001,0.46197999999999695,0.04738000000000042,-1.0148899999999976,0.6459756086248724,0.328,16.56,0.295,35.89,0.0,1.18409427375,NEPR
2023-06-19 18:00:00,-1070.1589999999999,8420.817,7596.614000000001,0.4812199999999969,0.014350000000000307,-0.9691499999999991,0.6463010308383483,0.328,16.57,0.295,35.26,0.0,1.1852225654166666,NEPR
2023-06-19 19:00:00,-1097.081,8227.649000000001,7749.071999999998,0.4513600000000011,0.010130000000000194,-0.9836100000000023,0.6466264530518244,0.328,16.57,0.296,33.73,0.0,1.1860889529166667,NEPR
2023-06-19 20:00:00,-1004.3130000000001,8420.146999999999,7288.48,0.38386999999999816,-0.03159999999999741,-0.9267099999999999,0.6469518752653004,0.328,16.58,0.296,31.24,0.0,1.1866953779166667,NEPR
2023-06-19 21:00:00,-697.6619999999998,8853.74,6250.790000000001,0.29955,-0.08286999999999978,-0.8271200000000007,0.6472772974787765,0.328,16.58,0.297,28.26,0.0,1.18676379125,NEPR
2023-06-19 22:00:00,-443.99199999999973,8909.218,5751.5,0.25301999999999936,-0.11381000000000085,-0.7679299999999998,0.6476027196922525,0.328,16.59,0.297,26.41,0.0,1.1867875404166666,NEPR
2023-06-19 23:00:00,441.90099999999984,8626.554,4791.459999999999,0.0776299999999992,-0.05232999999999777,-0.7056000000000004,0.6479281419057286,0.328,16.59,0.297,24.61,0.0,1.1868069283333333,NEPR
2023-06-20 00:00:00,304.99400000000014,8916.23,4683.58,0.07660000000000267,-0.14639000000000024,-0.6558300000000017,0.6482535641192045,0.328,16.6,0.297,23.53,0.0,1.18682563625,NEPR
2023-06-20 01:00:00,478.6270000000004,8910.951000000001,4465.289999999999,0.08336999999999861,-0.19820999999999955,-0.6112600000000015,0.6481070007428927,0.329,16.6,0.297,22.8,0.0,1.18684675125,NEPR
2023-06-20 02:00:00,1514.6950000000006,8011.3189999999995,3799.879999999999,-0.06162999999999741,-0.20656000000000319,-0.5934600000000003,0.647960437366581,0.329,16.6,0.297,21.16,0.0,1.18686261375,NEPR
2023-06-20 03:00:00,1161.0320000000002,8553.2,3508.409999999998,-0.08325000000000315,-0.33699999999999974,-0.5967299999999973,0.6478138739902692,0.329,16.61,0.297,19.59,0.0,1.1868736120833334,NEPR
