Date,Calcium,Magnesium,Potassium,Sodium,Chlorides,Nitrates,Sulfates,CalciumLoad_g,MagnesiumLoad_g,PotassiumLoad_g,SodiumLoad_g,ChloridesLoad_g,NitratesLoad_g,SulfatesLoad_g,Discharge,LogQ,Precip_1D,Precip_3D,Precip_7D,Precip_14D,D5TE_VWC_5cm_Avg,D5TE_VWC_100cm_Avg,Temp_anomaly_14D,Turbidity,Temperature,LE_li_wpl,LEsmooth,LogQ10,Date
2021-09-05 08:00:00,2.15,1.5,0.05,0.74,0.94,0.12,0.36,3.354,2.34,0.07800000000000001,1.1544,1.4664,0.1872,0.5616,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.254,0.321,-2.689139344262294,19.921875,21.0,11.196107,16.224303532857157,0.28746113789400224,2021-09-05 08:00:00
2021-09-05 08:30:00,2.14,1.49,0.05,0.74,0.94,0.12,0.36,3.3812,2.3542,0.07900000000000001,1.1692,1.4852,0.1896,0.5688,1.58,0.19865708695442263,0.0,2.54,2.794,3.048,0.254,0.321,-2.680351307189543,18.945312,21.0,58.48086,16.028054532857155,0.2866575893930444,2021-09-05 08:30:00
2021-09-05 09:00:00,2.14,1.49,0.05,0.74,0.94,0.12,0.36,3.4240000000000004,2.384,0.08000000000000002,1.184,1.504,0.192,0.576,1.6,0.2041199826559248,0.0,2.54,2.794,3.048,0.255,0.321,-2.7962133550488595,19.921875,20.875,144.7474,18.08571224714287,0.28589002811609576,2021-09-05 09:00:00
2021-09-05 09:30:00,2.15,1.5,0.05,0.74,0.94,0.12,0.37,3.354,2.34,0.07800000000000001,1.1544,1.4664,0.1872,0.5772,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.255,0.321,-2.7871347402597415,18.945312,20.875,136.98499999999999,20.302943390000014,0.28504601831976045,2021-09-05 09:30:00
2021-09-05 10:00:00,2.15,1.5,0.05,0.74,0.94,0.12,0.37,3.354,2.34,0.07800000000000001,1.1544,1.4664,0.1872,0.5772,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.2555,0.321,-2.902710355987054,18.945312,20.75,120.08446,22.182800104285725,0.2842661971947381,2021-09-05 10:00:00
2021-09-05 10:30:00,2.15,1.5,0.05,0.74,0.94,0.12,0.37,3.354,2.34,0.07800000000000001,1.1544,1.4664,0.1872,0.5772,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.2565,0.321,-2.8933467741935495,18.945312,20.75,177.0498,26.613678675714297,0.2834567099602244,2021-09-05 10:30:00
2021-09-05 11:00:00,2.15,1.49,0.05,0.74,0.94,0.12,0.37,3.354,2.3244000000000002,0.07800000000000001,1.1544,1.4664,0.1872,0.5772,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.257,0.321,-3.00864147909968,20.996094,20.625,161.60014999999999,30.486828104285724,0.2826268326237811,2021-09-05 11:00:00
2021-09-05 11:30:00,2.14,1.48,0.05,0.74,0.94,0.12,0.3701242236024845,3.317,2.294,0.07750000000000001,1.147,1.4569999999999999,0.186,0.5736925465838509,1.55,0.1903316981702915,0.0,2.54,2.794,3.048,0.2575,0.321,-2.998998397435898,19.921875,20.625,196.55335,34.94211353285716,0.28183319493911885,2021-09-05 11:30:00
2021-09-05 12:00:00,2.15,1.5,0.05,0.74,0.940375,0.16,0.37024844720496897,3.2895,2.295,0.07650000000000001,1.1322,1.43877375,0.24480000000000002,0.5664801242236025,1.53,0.1846914308175988,0.0,2.54,2.794,3.048,0.258,0.321,-3.1140175718849825,18.945312,20.5,237.22390000000001,40.733368675714296,0.2810191558083407,2021-09-05 12:00:00
2021-09-05 12:30:00,2.16,1.5,0.05,0.74,0.94075,0.12,0.3703726708074534,3.3048,2.295,0.07650000000000001,1.1322,1.4393475,0.18359999999999999,0.5666701863354037,1.53,0.1846914308175988,0.0,2.54,2.794,3.048,0.258,0.321,-3.104100318471339,18.945312,20.5,199.61915,44.72368439000001,0.280175110277144,2021-09-05 12:30:00
2021-09-05 13:00:00,2.15,1.5,0.05,0.74,0.941125,0.12333333333333332,0.3704968944099379,3.354,2.34,0.07800000000000001,1.1544,1.468155,0.1924,0.5779751552795032,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.259,0.321,-3.0942460317460316,18.945312,20.5,258.15485,51.487755675714304,0.27935795437015715,2021-09-05 13:00:00
2021-09-05 13:30:00,2.16,1.51,0.05,0.74,0.9415,0.12666666666666665,0.37062111801242237,3.3048,2.3103000000000002,0.07650000000000001,1.1322,1.440495,0.19379999999999997,0.5670503105590062,1.53,0.1846914308175988,0.0,2.54,2.794,3.048,0.259,0.321,-3.08445411392405,17.96875,20.5,215.9291,56.515454675714295,0.27855831501620876,2021-09-05 13:30:00
2021-09-05 14:00:00,2.15,1.5,0.05,0.74,0.9418749999999999,0.13,0.37074534161490685,3.354,2.34,0.07800000000000001,1.1544,1.469325,0.2028,0.5783627329192547,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.26,0.321,-2.9501182965299684,17.96875,20.625,306.80215,64.71669099,0.2777858373089978,2021-09-05 14:00:00
2021-09-05 14:30:00,2.16,1.5,0.05,0.74,0.9422499999999999,0.13333333333333333,0.3708695652173913,3.3480000000000003,2.325,0.07750000000000001,1.147,1.4604875,0.20666666666666667,0.5748478260869565,1.55,0.1903316981702915,0.0,2.54,2.794,3.048,0.26,0.321,-2.9408411949685522,18.945312,20.625,268.46555,70.37638151805555,0.27698329538735594,2021-09-05 14:30:00
2021-09-05 15:00:00,2.15,1.5,0.05,0.74,0.9426249999999999,0.13666666666666666,0.37099378881987577,3.354,2.34,0.07800000000000001,1.1544,1.4704949999999999,0.2132,0.5787503105590062,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.26,0.321,-2.7447100313479638,16.992188,20.8125,264.8546,75.63254958513514,0.2762080086069033,2021-09-05 15:00:00
2021-09-05 15:30:00,2.15,1.5,0.05,0.73,0.943,0.13999999999999999,0.37111801242236025,3.354,2.34,0.07800000000000001,1.1388,1.47108,0.21839999999999998,0.578944099378882,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.26,0.321,-2.5492187500000014,16.992188,21.0,293.68960000000004,81.37089301710527,0.2754121406371575,2021-09-05 15:30:00
2021-09-05 16:00:00,2.15,1.5,0.05,0.73,0.943375,0.1433333333333333,0.37124223602484474,3.2895,2.295,0.07650000000000001,1.1169,1.44336375,0.21929999999999997,0.5680006211180124,1.53,0.1846914308175988,0.0,2.54,2.794,3.048,0.26,0.321,-2.416666666666668,50.78125,21.125,140.8868,84.57641275394738,0.27458596496481796,2021-09-05 16:00:00
2021-09-05 16:30:00,2.15,1.5,0.05,0.73,0.94375,0.14666666666666667,0.37136645962732917,3.354,2.34,0.07800000000000001,1.1388,1.47225,0.2288,0.5793316770186335,1.56,0.1931245983544616,0.0,2.54,2.794,3.048,0.26,0.321,-2.1599378881987583,15.917969,21.375,147.92230999999998,87.99712156973685,0.27378711621448154,2021-09-05 16:30:00
