Date,LE,GPP,Reco,Hc_li,NEE,DOY,T_tmpr_rh_mean,RH_tmpr_rh_mean,D5TE_VWC_5cm_Avg,D5TE_VWC_100cm_Avg,D5TE_T_5cm_Avg,D5TE_T_100cm_Avg,short_up_Avg,CO2_li_mean,NDVI,B,WUE,site
2022-10-01 13:00:00,66.16343499999999,4.41170518028069,1.48037043694724,207.7101,-2.08689655172414,274.0,19.732045,36.354055,0.169,0.254,14.075,17.5,871.7759000000001,723.9574,0.5058260416666667,3.23704232196459,0.08521806582010853,GC
2022-10-01 13:30:00,52.578185,4.24217309397229,1.52732057171589,172.277,-2.47,274.0,20.329875,33.470744999999994,0.1695,0.254,14.49,17.5,854.87955,721.7407000000001,0.5053953124999999,3.3800173847510226,0.1056149164892537,GC
2022-10-01 14:00:00,84.9094,4.04739435182705,1.56725703201725,158.85365000000002,-2.3937037037037,274.0,20.8857,32.83793,0.17,0.254,14.85,17.5,816.5825,719.00505,0.5049645833333333,1.941364135481674,0.03924129593050158,GC
2022-10-01 14:30:00,83.82183,3.76204308664158,1.63863921310116,222.03040000000001,-1.71769230769231,274.0,21.573755,30.811255000000003,0.171,0.254,15.18,17.5,762.1568,716.04135,0.5045338541666666,2.574783492391711,0.03724301020103847,GC
2022-10-01 15:00:00,53.881325000000004,3.4600996286195,1.67679683828837,147.4792,-0.655555555555556,274.0,21.94243,30.517905,0.171,0.254,15.434999999999999,17.5,689.3432,714.85315,0.504103125,2.013664896406229,0.11915037993136654,GC
2022-10-01 15:30:00,28.25754,3.12776723530863,1.70238181373388,110.5345,-1.39333333333333,274.0,22.269785,31.363795,0.171,0.254,15.645,17.5,602.8297500000001,717.788,0.5036723958333333,3.91527167041248,0.09214785396508697,GC
2022-10-01 16:00:00,50.54758,2.72632511720317,1.69830247518885,92.022985,-0.476666666666667,274.0,22.389165,33.14175,0.171,0.254,15.719999999999999,17.5,506.05165,719.2788499999999,0.5032416666666666,2.2953324372798853,0.053935818830558646,GC
2022-10-02 09:00:00,32.058499999999995,2.9734822501109,0.747207414904122,16.73594,0.462727272727273,275.0,12.18626,82.74317500000001,0.1655,0.254,12.525,17.325,410.8813,764.4476,0.48859687499999993,0.5170878581830252,0.08922867524292041,GC
2022-10-02 09:30:00,36.99275,3.28197799064921,0.82749351065619,77.94926000000001,-0.635555555555556,275.0,13.610865,78.821245,0.166,0.254,12.719999999999999,17.3,516.837,753.56925,0.4881661458333333,2.270732109437658,0.06749531654321324,GC
2022-10-02 10:00:00,50.898920000000004,3.45227652023443,0.927316715835527,157.2912,-1.66777777777778,275.0,14.967355000000001,73.94016,0.166,0.254,12.98,17.3,609.8441,745.47995,0.48773541666666664,3.0915472830667294,0.06956954210976779,GC
2022-10-02 10:30:00,39.318799999999996,3.74574623450843,1.00929580333631,84.435565,-1.57083333333333,275.0,16.094125,69.15329,0.166,0.254,13.265,17.3,685.7526,739.8806500000001,0.48730468749999994,2.121422750162104,0.14675998276485508,GC
2022-10-02 11:00:00,49.68204,3.9634581931855,1.09561281698582,157.288785,-3.05777777777778,275.0,17.172425,63.84507500000001,0.167,0.254,13.52,17.3,747.43685,732.4150500000001,0.4868739583333333,3.121923779823855,0.118887814828378,GC
2022-10-02 11:30:00,63.456985,4.11289622562898,1.17690704625089,158.21835,-3.30944444444444,275.0,18.130975,57.29577999999999,0.167,0.254,13.73,17.3,789.2542000000001,725.0219999999999,0.4864432291666666,2.7165082664624776,0.0485525443229214,GC
2022-10-02 12:00:00,75.254615,4.16292341631147,1.24816096113717,189.044,-2.8325,275.0,18.915985,52.021195,0.167,0.2535,13.97,17.3,826.5142,721.58875,0.48601249999999996,2.6916679945008966,0.06513147892655888,GC
2022-10-02 12:30:00,100.30263,4.13236003431092,1.30327194122783,204.3477,-2.4548,275.0,19.65056,46.795024999999995,0.168,0.253,14.280000000000001,17.3,841.9593,719.41305,0.4855817708333333,2.193499288927364,0.03261042175451921,GC
2022-10-02 13:00:00,88.648435,4.05498216940472,1.34357817392489,250.45589999999999,-2.20961538461538,275.0,20.157105,45.006955000000005,0.1685,0.253,14.66,17.3,841.8507,717.7644,0.4851510416666666,2.836982786651559,0.04756413291324288,GC
2022-10-02 13:30:00,51.774429999999995,3.96040762226457,1.38523752630437,191.6216,-2.32518518518519,275.0,20.442175,45.281925,0.169,0.253,15.024999999999999,17.3,820.5179,716.76345,0.4847203125,3.903897048508317,0.05711678505783374,GC
2022-10-02 14:00:00,80.74513999999999,3.83142448771827,1.40097990929946,248.2049,-1.965,275.0,20.91929,45.384805,0.169,0.253,15.385000000000002,17.29,781.9739,715.3631,0.4842895833333333,3.0744966032826477,0.08255551329830955,GC
2022-10-02 14:30:00,57.32963,3.61887737715786,1.44675072851431,193.9442,-2.30538461538462,275.0,21.439925000000002,43.20972,0.1695,0.253,15.71,17.285,727.9171,713.5277000000001,0.48385885416666663,2.831359818132161,0.040014433737964136,GC
2022-10-02 15:00:00,60.76518,3.36612133945297,1.45749823319735,202.78640000000001,-1.42555555555556,275.0,21.69715,42.77389,0.17,0.253,15.96,17.295,657.23785,712.77005,0.483428125,3.4747773240671425,0.07924842755346768,GC
2022-10-02 15:30:00,50.096005000000005,3.04285548177627,1.48821683207431,171.41775,-1.335,275.0,21.913854999999998,42.960044999999994,0.17,0.253,16.130000000000003,17.27,572.8722,712.13165,0.4829973958333333,3.3944421243611016,0.06478652925030931,GC
2022-10-02 16:00:00,29.331895,2.6552436808919,1.48418719792087,127.17360000000001,-0.545,275.0,21.96742,43.836214999999996,0.17,0.253,16.265,17.285,480.91610000000003,712.6811,0.48256666666666664,3.4206016439742855,0.10171917132310898,GC
2022-10-02 16:30:00,28.638064999999997,2.16895544928252,1.4680480130297,89.949935,-0.4,275.0,21.9775,43.941235,0.17,0.253,16.3,17.275,384.42585,711.5897,0.48213593749999994,3.1660034229958494,0.06894009809727523,GC
2022-10-03 09:00:00,92.03522,2.29670622560118,0.563028605338787,40.87155,1.39888888888889,276.0,10.52517,80.61192,0.163,0.253,12.27,17.2,439.47180000000003,763.78255,0.46792187499999993,0.3392432348981479,0.03611636690495479,GC
2022-10-03 09:30:00,103.01331,2.68291534434156,0.639207602454092,54.16012,-0.247647058823529,276.0,11.77993,74.45146,0.1635,0.253,12.465,17.2,534.87405,757.4156,0.4674911458333333,0.5279899552930309,0.023963844485922786,GC
2022-10-03 10:00:00,96.901385,2.98296664633867,0.706187075625758,98.42340999999999,-1.77285714285714,276.0,12.798735,66.18948,0.164,0.253,12.705,17.2,634.4118000000001,750.78955,0.46706041666666664,1.0118028962315992,0.03197990921312216,GC
2022-10-03 10:30:00,74.120465,3.21017597245412,0.78712802410235,156.45395000000002,-2.88933333333333,276.0,14.20846,56.90169,0.164,0.253,12.934999999999999,17.2,718.0147,744.26665,0.46662968749999995,2.1762450431051987,0.034008684477985454,GC
2022-10-03 11:00:00,75.31505999999999,3.37497281178635,0.855855716213606,185.2582,-3.20208333333333,276.0,15.068545,49.020205,0.1645,0.253,13.175,17.2,786.24,738.3013,0.4661989583333333,1.7172270494899888,0.101952698756087,GC
2022-10-03 11:30:00,74.712245,3.47558313249783,0.914604107246348,197.57725,-3.80694444444444,276.0,15.85678,44.17395500000001,0.165,0.253,13.35,17.2,832.9729,735.021,0.4657682291666666,2.8284173301114803,0.03758620810568561,GC
2022-10-03 12:00:00,43.497145,3.50768775072679,0.959287026566546,168.57725,-3.86944444444444,276.0,16.592375,40.218914999999996,0.165,0.253,13.524999999999999,17.195,872.2933499999999,732.53195,0.46533749999999996,2.6484712759368803,0.05263930135856588,GC
2022-10-03 12:30:00,118.8019,3.49140443146751,1.01195656844709,262.3841,-3.66783783783784,276.0,17.241735,38.7885,0.166,0.2525,13.82,17.195,884.21815,730.8124,0.4649067708333333,2.2023999448655367,0.030542924253114823,GC
2022-10-03 13:00:00,77.661205,3.44428718124365,1.04846355547848,198.9983,-3.36621621621622,276.0,17.953825,36.491765,0.166,0.252,14.195,17.175,885.54035,728.0123,0.4644760416666666,1.5942603359936312,0.03130094550457797,GC
2022-10-03 13:30:00,62.043525,3.33104812552258,1.11077538736328,153.69895000000002,-2.80275,276.0,18.699804999999998,33.402535,0.1665,0.252,14.59,17.15,865.10005,725.3831,0.4640453125,2.5540937641950543,0.045355117892636146,GC
2022-10-03 14:00:00,47.612429999999996,3.20002417378062,1.14534368019313,232.0187,-2.18771428571429,276.0,19.20026,33.19706,0.167,0.252,14.975000000000001,17.145,827.26395,723.9457,0.4636145833333333,3.2826168271941203,0.042043274207981256,GC
2022-10-03 14:30:00,66.635375,3.02557307804849,1.19388791528909,216.6599,-2.75,276.0,19.972775,31.918535,0.1675,0.252,15.3,17.125,768.4114,722.43615,0.46318385416666663,3.321458171826448,0.03957845066631587,GC
2022-10-03 15:00:00,43.741305,2.80379296144294,1.23425459379207,176.5226,-1.342,276.0,20.35043,30.628385,0.168,0.252,15.59,17.11,694.5137500000001,721.2739,0.462753125,4.043115681209057,0.06521009857692267,GC
2022-10-03 15:30:00,67.06151,2.52972259506983,1.24293026083457,142.7151,-2.20571428571429,276.0,20.56815,28.880595,0.168,0.252,15.785,17.105,611.5708500000001,720.6403,0.4623223958333333,2.1217227988040572,0.038229640485153024,GC
2022-10-03 16:00:00,46.420855,2.19583885754028,1.25546549112271,91.25769500000001,-1.475,276.0,20.810875000000003,27.197045,0.169,0.252,15.9,17.105,513.46605,720.6021000000001,0.4618916666666666,1.9673258590831777,0.051285210547317814,GC
2022-10-03 16:30:00,40.95786,1.78420500116429,1.26650699562125,86.245915,-0.368333333333333,276.0,21.07689,26.220309999999998,0.169,0.252,15.969999999999999,17.105,410.1118,720.16785,0.46146093749999995,2.027140682833422,0.038432765276546044,GC
2022-10-04 12:30:00,55.38827,2.58725743213345,1.17407184779446,180.06245,-2.05965517241379,277.0,20.65774,31.02121,0.163,0.252,12.67,17.0,862.4575500000001,728.03565,0.4442317708333333,3.5032664443778567,0.036376346116138665,GC
2022-10-04 13:00:00,101.18385,2.52035788232103,1.21018370808858,173.99025,-2.28153846153846,277.0,20.86811,27.91622,0.163,0.2515,13.149999999999999,17.0,861.5197000000001,727.00455,0.4438010416666666,1.7291101272564946,0.024214163873187967,GC
2022-10-04 13:30:00,139.1368,2.42895355548339,1.24306936352967,199.83825000000002,-2.04130434782609,277.0,21.61985,26.00262,0.164,0.251,13.655,17.0,849.7886000000001,724.6285,0.4433703125,1.4355886062477947,0.017326203623402803,GC
2022-10-04 14:00:00,143.08735000000001,2.30741917975717,1.29461093029536,222.8759,-2.15647058823529,277.0,22.37253,24.07918,0.164,0.251,14.14,17.0,814.05315,722.5172500000001,0.4429395833333333,1.637055115784583,0.013738465118599526,GC
2022-10-04 14:30:00,48.00475,2.17587395738347,1.31466862093604,181.27375,-1.96333333333333,277.0,22.36459,24.912835,0.165,0.251,14.535,17.0,741.5758,721.598,0.44250885416666663,4.10856009040772,0.04532622203809977,GC
2022-10-04 15:00:00,44.47874,2.00325358298609,1.35037892347581,132.03725,-0.383333333333333,277.0,22.803195000000002,22.27596,0.166,0.251,14.835,17.0,675.46145,719.2518,0.442078125,2.151019371149912,0.027101340541396624,GC
2022-10-04 15:30:00,51.81025,1.81253256203858,1.34739024947758,156.603,-1.36833333333333,277.0,22.82076,23.71104,0.166,0.251,15.07,17.0,582.4518,718.154,0.4416473958333333,2.0303646778335565,0.08874023260727976,GC
2022-10-04 16:00:00,57.483815,1.57951133978401,1.33665864547588,130.84165000000002,-0.323333333333333,277.0,22.583734999999997,22.48348,0.166,0.251,15.25,17.0,496.9649,718.5645999999999,0.4412166666666666,2.429602563979369,0.03848141746505415,GC
2022-10-05 13:00:00,58.503550000000004,2.07036373190539,1.27661862417852,214.35095,-2.53615384615385,278.0,22.503214999999997,22.02164,0.163,0.25,13.21,16.9,848.9781,725.1233,0.4231260416666666,2.0729570072882693,0.09892121864367909,GC
2022-10-05 14:00:00,75.696755,1.94161632401525,1.32365865338549,179.44675,-1.91818181818182,278.0,22.948605,22.60623,0.1635,0.25,14.1,16.9,783.5363,719.0535,0.4222645833333333,2.4312395461122973,0.02811382417938325,GC
2022-10-05 15:30:00,30.806635,1.56470985710008,1.33545517354149,119.9861,-1.21,278.0,23.443550000000002,21.43055,0.164,0.25,14.885,16.9,606.8193,714.4311,0.4209723958333333,2.801603858468233,0.09520757622278202,GC
2022-10-06 09:00:00,65.47153499999999,1.55915226489627,0.717982419994412,15.018408,1.38,279.0,14.787675,74.11235500000001,0.163,0.25,13.52,16.795,379.97185,777.2489,0.40589687499999993,0.21183387980496032,0.019697174027135105,GC
2022-10-06 09:30:00,138.57375000000002,1.87116395801522,0.781787414042719,68.06558,-1.42272727272727,279.0,15.93836,67.66481999999999,0.163,0.25,13.625,16.795,482.30885,764.1368500000001,0.4054661458333333,0.40449255381104626,0.017186587718914334,GC
2022-10-06 10:00:00,137.2458,2.12575949389146,0.852706597572606,20.867836,-0.694545454545454,279.0,16.764835,63.070274999999995,0.163,0.25,13.84,16.78,574.7530999999999,757.3335999999999,0.40503541666666665,0.13396027210006103,0.012542212292354285,GC
2022-10-06 10:30:00,119.50995,2.09074328314661,0.905911369470362,40.659735,-1.422,279.0,17.750765,59.9542,0.163,0.25,13.99,16.759999999999998,655.9822,750.9186500000001,0.40460468749999995,0.33950274693191995,0.01675492558446377,GC
2022-10-06 11:00:00,126.57985,2.22878987436093,0.965878695850348,61.783765,-1.54647058823529,279.0,18.593899999999998,54.896069999999995,0.1635,0.25,14.125,16.740000000000002,719.1591000000001,742.2375999999999,0.40417395833333325,0.4918205284509741,0.015200250117548292,GC
2022-10-06 11:30:00,122.3765,2.3045554325089,1.03374718395302,166.49195,-2.33125,279.0,19.689954999999998,52.032315,0.164,0.25,14.285,16.705,761.0989,733.57215,0.4037432291666666,1.3610193769385348,0.019000076942556756,GC
2022-10-06 12:00:00,89.15829,2.34273292739627,1.07961098305201,144.6375,-1.98896551724138,279.0,20.185209999999998,51.42248,0.164,0.25,14.530000000000001,16.72,794.66625,729.81745,0.40331249999999996,1.6212757919544059,0.02679627791692973,GC
